rank,release_date,primary_title,budget,domestic_gross,worldwide_gross_raw,release_year,month,vote_average,vote_count,genre_ids,primary_genre,worldwide_gross_millions,budget_millions,domestic_gross_millions,roi_percent
1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,2009,12,7.4,18676.0,"[28, 12, 14, 878]",Action,2776.345279,425.0,760.507625,553.26
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,5,6.4,8571.0,"[12, 28, 14]",Adventure,1045.663875,410.6,241.063875,154.67
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,2019,6,,,,,149.76235,350.0,42.76235,-57.21
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,5,7.3,13457.0,"[28, 12, 878]",Action,1403.013963,330.6,459.005868,324.38
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,2017,12,,,,,1316.721747,317.0,620.181382,315.37
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,2015,12,,,,,2053.31122,306.0,936.662225,571.02
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,4,8.3,13948.0,"[12, 28, 14]",Adventure,2048.1342,300.0,678.815482,582.71
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,2007,5,,,,,963.420425,300.0,309.420425,221.14
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,11,6.2,7510.0,"[28, 12, 14, 878]",Action,655.945209,300.0,229.024295,118.65
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,11,6.2,7510.0,"[28, 12, 14, 878]",Action,655.945209,300.0,229.024295,118.65
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,11,6.4,6719.0,"[28, 12, 80]",Action,879.620923,300.0,200.074175,193.21
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,11,6.4,6719.0,"[28, 12, 80]",Action,879.620923,300.0,200.074175,193.21
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,7,7.7,13933.0,"[28, 80, 18, 53]",Action,1084.439099,275.0,448.139099,294.34
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,5,6.6,3838.0,"[28, 12, 878]",Action,393.151347,275.0,213.767512,42.96
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,7,6.0,3789.0,"[28, 12, 37]",Action,260.002115,275.0,89.302115,-5.45
